date_time,population,temp
2025-08-04 15:00:00,Ishikari,18.22989258
2025-08-04 15:00:00,Kerimai,20.20331055
2025-08-04 16:00:00,Ishikari,18.35859375
2025-08-04 16:00:00,Kerimai,19.86010742
2025-08-04 17:00:00,Ishikari,18.22989258
2025-08-04 17:00:00,Kerimai,19.60270508
2025-08-04 18:00:00,Ishikari,18.10119141
2025-08-04 18:00:00,Kerimai,19.43110352
2025-08-04 19:00:00,Ishikari,17.88668945
2025-08-04 19:00:00,Kerimai,19.21660156
2025-08-04 20:00:00,Ishikari,17.6721875
2025-08-04 20:00:00,Kerimai,19.13080078
2025-08-04 21:00:00,Ishikari,17.50058594
2025-08-04 21:00:00,Kerimai,19.08790039
2025-08-04 22:00:00,Ishikari,17.24318359
2025-08-04 22:00:00,Kerimai,19.045
2025-08-04 23:00:00,Ishikari,17.24318359
2025-08-04 23:00:00,Kerimai,19.00209961
2025-08-05 00:00:00,Ishikari,17.24318359
2025-08-05 00:00:00,Kerimai,18.95919922
2025-08-05 01:00:00,Ishikari,17.11448242
2025-08-05 01:00:00,Kerimai,18.91629883
2025-08-05 02:00:00,Ishikari,17.2002832
2025-08-05 02:00:00,Kerimai,18.87339844
2025-08-05 03:00:00,Ishikari,17.28608398
2025-08-05 03:00:00,Kerimai,18.87339844
2025-08-05 04:00:00,Ishikari,17.37188477
2025-08-05 04:00:00,Kerimai,18.87339844
2025-08-05 05:00:00,Ishikari,17.28608398
2025-08-05 05:00:00,Kerimai,19.86010742
2025-08-05 06:00:00,Ishikari,17.15738281
2025-08-05 06:00:00,Kerimai,19.30240234
2025-08-05 07:00:00,Ishikari,17.11448242
2025-08-05 07:00:00,Kerimai,19.13080078
2025-08-05 08:00:00,Ishikari,17.41478516
2025-08-05 08:00:00,Kerimai,18.95919922
2025-08-05 09:00:00,Ishikari,17.54348633
2025-08-05 09:00:00,Kerimai,18.91629883
2025-08-05 10:00:00,Ishikari,18.78759766
2025-08-05 10:00:00,Kerimai,19.045
2025-08-05 11:00:00,Ishikari,18.74469727
2025-08-05 11:00:00,Kerimai,19.21660156
2025-08-05 12:00:00,Ishikari,18.91629883
2025-08-05 12:00:00,Kerimai,19.38820313
2025-08-05 13:00:00,Ishikari,19.81720703
2025-08-05 13:00:00,Kerimai,20.24621094
2025-08-05 14:00:00,Ishikari,20.4178125
2025-08-05 14:00:00,Kerimai,19.68850586
2025-08-05 15:00:00,Ishikari,20.58941406
2025-08-05 15:00:00,Kerimai,19.9459082
2025-08-05 16:00:00,Ishikari,20.07460938
2025-08-05 16:00:00,Kerimai,19.73140625
2025-08-05 17:00:00,Ishikari,19.73140625
2025-08-05 17:00:00,Kerimai,19.43110352
